Timestamp,Location Name,Total Count,Car Count,Motorcycle Count
2026-02-06 18:40:12,Persimpangan Sukahaji,7,7,0
2026-02-06 18:39:58,Gedebage Arah GBLA,11,11,0
2026-02-06 18:39:43,Fly Over Antapani,8,8,0
2026-02-06 18:39:28,Pertigaan Waas Batununggal,38,34,3
2026-02-06 18:39:17,Simpang Kordon,24,24,0
2026-02-06 18:38:44,Pertigaan Cijerah Bandung,3,3,0
2026-02-06 18:38:31,CCTV CICENDO Bandung,74,67,6
2026-02-06 18:38:17,Jl Sudirman Bandung,42,42,0
2026-02-06 18:38:03,CCTV Kebon Kawung Paskal,8,8,0
2026-02-06 18:37:49,Simpang buah Batu Bandung,13,6,6
2026-02-06 18:37:36,Fly Over Kopo Leuwi Panjang,11,11,0
2026-02-06 18:37:22,Pertigaan Cicadas Bandung,31,31,0
2026-02-06 18:37:10,Kircon Perempatan Binon Bandung,3,3,0
2026-02-06 18:36:54,Simpang Kordon,38,34,3
2026-02-06 18:36:41,Gedebage Arah GBLA,24,24,0
2026-02-06 18:36:26,Simpang Gedebage - Soekarno Hatta,31,31,0
2026-02-06 18:35:50,Fly Over Antapani,25,25,0
2026-02-06 18:35:37,Simpang Kordon,48,34,13
2026-02-06 18:35:23,Kircon Perempatan Binon Bandung,4,4,0
2026-02-06 18:35:10,Simpang Gedebage - Soekarno Hatta,3,3,0
2026-02-06 18:34:57,Pertigaan Waas Batununggal,0,0,0
2026-02-06 18:34:27,Simpang buah Batu Bandung,14,14,0
2026-02-06 18:34:13,Perempatan Laswi Gatsu Bandung,4,4,0
2026-02-06 18:34:00,Sudirman Otista,27,27,0
2026-02-06 18:33:48,Simpang Garuda - Rajawali Bandung,22,22,0
2026-02-06 18:33:34,Jl Sudirman Bandung,42,42,0
2026-02-06 18:33:22,Simpang Pajajaran,11,11,0
2026-02-06 18:33:08,CCTV Kebon Kawung Paskal,0,0,0
2026-02-06 18:32:53,Jl Banda Riau Bandung,28,24,4
2026-02-06 18:32:41,Simpang Kordon,13,13,0
2026-02-06 18:32:27,Simpang Gasibu,19,19,0
2026-02-06 18:32:15,SIMPANG TUGU KUJANG Kota Bogor,128,100,27
2026-02-06 18:31:49,SIMPANG TUGU KUJANG Kota Bogor,116,112,3
2026-02-06 18:31:28,SIMPANG TUGU KUJANG Kota Bogor,159,145,13
2026-02-06 18:31:00,Pertigaan Cijerah Bandung,25,25,0
2026-02-06 18:30:44,CCTV CICENDO Bandung,57,57,0
2026-02-06 18:30:29,Simpang Garuda - Rajawali Bandung,13,13,0
2026-02-06 18:30:16,Jl Sudirman Bandung,47,47,0
2026-02-06 18:30:03,Persimpangan Sukahaji,4,4,0
2026-02-06 18:29:49,Perempatan PT Inti,4,4,0
2026-02-06 18:29:36,Fly Over Antapani,4,4,0
2026-02-06 18:29:24,Simpang Braga,9,4,4
2026-02-06 18:29:10,Perempatan Laswi Gatsu Bandung,7,7,0
2026-02-06 18:28:57,Pertigaan Waas Batununggal,43,43,0
2026-02-06 18:28:46,Simpang Kordon,76,76,0
2026-02-06 18:28:15,Jl Citarum Bandung,23,23,0
2026-02-06 18:28:01,Pertigaan Cijerah Bandung,41,27,13
